sku,url,tu_nombre_seller,nombre_producto,sku_patish,vgc
1161089491,https://www.liverpool.com.mx/tienda/pdp/producto/99974628910?skuid=1161089491,PATISH,Motorola G54 12/256 5g LCD IPS 6.5 pulgadas,4201579,99974628910
1161172169,https://www.liverpool.com.mx/tienda/pdp/producto/99974676611?skuid=1161172169,PATISH,"""consola portátil"" nintendo bundle nintendo switch lite nintendo switch lite 32 gb ""edición"" especial sin temática nintendo switch lite",4201089_4200087,99974676611
1161172185,https://www.liverpool.com.mx/tienda/pdp/producto/99974676611?skuid=1161172185,PATISH,"""consola portátil"" nintendo bundle nintendo switch lite nintendo switch lite 32 gb ""edición"" especial sin temática nintendo switch lite",4201975_4200087,99974676611
1161172193,https://www.liverpool.com.mx/tienda/pdp/producto/99974676611?skuid=1161172193,PATISH,Consola portátil Nintendo Switch Lite 32 GB edición especial,4201976_4200087Gris,99974676611
1161172177,https://www.liverpool.com.mx/tienda/pdp/producto/99974676611?skuid=1161172177,PATISH,"""consola portátil"" nintendo bundle nintendo switch lite nintendo switch lite 32 gb ""edición"" especial sin temática nintendo switch lite",4201090_4200087,99974676611
1161172207,https://www.liverpool.com.mx/tienda/pdp/producto/99974676611?skuid=1161172207,PATISH,Consola portátil Nintendo Switch Lite 32 GB edición especial,4201091_4200087Azul,99974676611
1161175001,https://www.liverpool.com.mx/tienda/pdp/producto/1161175001?skuid=1161175001,PATISH,Laptop Evolve 11.6 pulgadas HD Intel Celeron 4 GB RAM 64 GB SSD,4202128_4200087,
1161090189,https://www.liverpool.com.mx/tienda/pdp/producto/1161090189?skuid=1161090189,PATISH,Apple iPhone 13 6.1 pulgadas Super Retina XDR Reacondicionado,4201648iPhone 13 256GB Verde,
1149827605,https://www.liverpool.com.mx/tienda/pdp/producto/1149827605?skuid=1149827605,PATISH,Xiaomi Poco X6 Pro AMOLED 6.6 pulgadas,4201752,
1161481421,https://www.liverpool.com.mx/tienda/pdp/producto/1161481421?skuid=1161481421,PATISH,Bocina portátil Jbl JBL Charge Essential 2 inalámbrica,4201574,
1161547847,https://www.liverpool.com.mx/tienda/pdp/producto/99974924183?skuid=1161547847,PATISH,Xiaomi xiaomi note 13 pro 5g amoled 6.6 pulgadas nuevo,4201572,99974924183
1161547855,https://www.liverpool.com.mx/tienda/pdp/producto/99974924183?skuid=1161547855,PATISH,Xiaomi xiaomi note 13 pro 5g amoled 6.6 pulgadas nuevo,4201573,99974924183
1161554410,https://www.liverpool.com.mx/tienda/pdp/producto/1161554410?skuid=1161554410,PATISH,Samsung Galaxy A35 5G 8/128 Super AMOLED 6.6 pulgadas,4201571_4200087,
1161697610,https://www.liverpool.com.mx/tienda/pdp/producto/1161697610?skuid=1161697610,PATISH,Apple iPhone 12 6.1 pulgadas Super Retina XDR Reacondicionado,4201565-Iphone 12 64Gb Blanco,
